Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
281707,395755642,328,13,139.791,-39.3579,-130.474,-31.1281,136.281,-0.226471,-1.86377,-1,-13,124.815,-36.1637,-119.253,7.04494,124.616,0.0565033,-1.86523,1,13,111.339,23.7585,107.494,16.6425,110.088,0.150604,1.35327,-1,-13,23.1226,18.7888,-9.77974,-9.27256,21.1817,-0.424866,-0.479919,1,81.6535,37.0008,367.124
282092,452333173,351,-13,325.741,44.5693,-99.0448,307.101,108.611,1.76245,-1.14795,1,13,120.607,-89.0826,10.3103,-80.6472,89.6773,-0.80835,3.02637,-1,-13,72.4974,-23.8678,65.0203,-21.4138,69.2627,-0.304443,1.92261,1,13,156.349,48.6731,10.5977,148.201,49.8135,1.81055,0.214386,-1,91.8711,92.7026,574.933
282092,559132102,419,13,116.6,-49.3117,-49.4315,93.3828,69.822,1.10107,-2.35498,-1,-13,42.749,33.272,-26.5147,-4.17245,42.5447,-0.0979156,-0.672852,1,-13,25.5446,15.3031,18.8702,7.8894,24.2955,0.319275,0.889404,1,13,55.6142,-3.01406,21.595,-51.1615,21.8043,-1.58862,1.70947,-1,88.6473,75.3241,233.368
282092,759153050,539,-13,351.442,-98.5993,72.9085,329.354,122.627,1.71411,2.50488,1,-13,90.7882,67.2753,-1.15035,-60.9524,67.2852,-0.813232,-0.0170975,1,13,138.444,12.1469,-63.769,-122.281,64.9156,-1.39038,-1.38257,-1,13,29.7212,11.9703,-8.77037,25.7514,14.8394,1.3186,-0.632324,-1,91.9263,86.9905,585.654
283059,105960874,60,-13,51.8039,-44.9332,-19.4851,-16.8811,48.9762,-0.338196,-2.73242,1,-13,202.74,44.1611,14.7516,-197.321,46.5598,-2.15088,0.322388,1,13,50.7117,37.2398,21.0463,-27.2382,42.7756,-0.600098,0.514404,-1,13,70.4319,-34.825,-13.3944,-59.7365,37.3121,-1.24951,-2.77441,-1,91.952,92.2026,224.549
283283,599481122,289,11,35.603,9.72988,2.24825,34.1738,9.98625,1.94409,0.227081,-1,-11,33.3443,-6.6316,-2.47658,32.5842,7.07895,2.23145,-2.78418,1,13,24.4962,-24.4048,0.393058,-2.07472,24.4079,-0.0848999,3.12549,-1,-13,74.1163,21.9478,3.15681,70.7216,22.1737,1.87671,0.142853,1,70.6639,16.9543,98.6426
283865,112688697,66,13,75.9379,-10.8677,27.218,70.0544,29.3074,1.60571,1.95068,-1,-13,15.4148,6.06357,-12.9147,-5.83528,14.2673,-0.398376,-1.13184,1,-13,22.4272,4.54304,-9.37102,19.8624,10.4142,1.40137,-1.11938,1,13,7.39239,2.96558,-6.16695,-2.79469,6.84295,-0.397827,-1.12256,-1,63.1945,17.3233,89.8128
283865,390554212,226,-13,202.267,93.8579,169.831,57.0966,194.041,0.290161,1.06592,1,-13,149.368,-34.159,32.8978,141.64,47.4247,1.81421,2.375,1,13,225.989,40.4321,-18.6593,221.558,44.53,2.30762,-0.432373,-1,13,23.1696,6.19754,20.7103,8.33618,21.6178,0.376648,1.28003,-1,93.4787,14.9361,352.12
283934,130616823,77,11,72.7546,0.270128,58.2894,43.5374,58.29,0.690674,1.56616,-1,-11,35.6759,-19.2611,-29.9325,2.41331,35.5942,0.067749,-2.14258,1,-13,65.6929,56.0841,20.1571,-27.6372,59.5964,-0.448547,0.345032,1,13,59.5362,-13.8102,-41.4262,-40.4685,43.6675,-0.828613,-1.89258,-1,92.092,93.8322,231.33
283934,1306284596,769,-13,104.9,-19.5027,-74.5524,-71.1723,77.0611,-0.826294,-1.82666,1,-13,114.626,-0.0724982,42.3115,-106.53,42.3115,-1.65381,1.57251,1,13,27.3426,16.4896,19.3193,-10.1226,25.3997,-0.388672,0.864258,-1,13,24.1348,6.53609,8.1937,-21.7399,10.4813,-1.47632,0.897461,-1,88.4273,14.4435,171.728
