Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281976,3376000957,1919,24.83815,0.9562988,0.94555664,-1,15.799889,0.75598145,1.3718262,1,9.275554
281976,3460823843,1974,31.429472,1.6123047,0.22573853,1,19.66817,2.0117188,0.21981812,-1,9.997949
281976,3468858916,1979,12.192967,-2.2426758,-1.126709,1,9.190739,-1.3066406,-0.967041,-1,10.412325
281976,3474875454,1983,32.98747,1.324707,0.0024847984,1,8.928607,1.9101562,0.18081665,-1,10.640063
281976,3474701610,1983,17.52945,0.2555542,-0.7816162,-1,14.502407,0.6003418,-1.3193359,1,10.113027
281976,3475287882,1984,22.20589,0.041809082,-2.5327148,-1,20.078762,-0.24908447,-2.1601562,1,9.958409
281976,3483861280,1989,31.712746,-1.3051758,-2.5180664,1,13.361607,-1.4189453,-2.0615234,-1,9.60672
281976,3482822226,1989,20.354443,-0.76293945,-1.5549316,1,13.31564,-0.49786377,-0.97314453,-1,10.408432
281976,3486709792,1991,20.3883,-1.2609863,-0.8901367,1,15.69042,-1.0419922,-0.3511963,-1,10.300111
281976,3486326687,1991,20.649412,-1.3864746,-1.8566895,-1,15.279616,-0.8769531,-1.887207,1,9.164752
281976,3486605203,1991,39.223156,0.20028687,0.29589844,1,6.3712387,-0.26171875,-0.14779663,-1,10.133677
281976,3493761585,1996,23.542288,0.99890137,0.9803467,1,20.562752,1.4128418,1.175293,-1,10.123167
281976,3494442406,1996,34.246548,-1.3491211,-2.7216797,1,16.097643,-1.6269531,-2.4228516,-1,9.575563
281976,3499724013,2000,37.64894,-2.0664062,-3.0219727,1,15.687431,-1.9731445,-2.659668,-1,9.045242
281976,3504164123,2003,30.879734,-0.5957031,-2.4072266,-1,21.853607,-0.37799072,-2.0820312,1,10.141552
281976,3504733394,2003,24.959837,-0.12509155,2.2197266,-1,12.817127,0.34588623,1.9484863,1,9.781468
281976,3508788214,2006,35.383587,-1.71875,-0.43878174,-1,18.604315,-2.1098633,-0.36566162,1,10.27189
281976,3508849514,2006,21.646833,0.41351318,1.8569336,-1,16.85827,0.6879883,2.2983398,1,9.880308
281976,3509264435,2006,16.398666,-0.054649353,-0.58776855,1,15.416688,-0.53930664,-0.16278076,-1,10.272983
281976,3509681293,2006,20.23034,0.4915161,-0.36071777,1,17.67057,0.8273926,-0.7388916,-1,9.551374
281976,3510032621,2006,38.147636,2.0439453,-0.31481934,-1,35.2113,1.9824219,-0.034805298,1,10.473553
281976,3623269309,2082,111.131165,-2.2109375,-2.8115234,-1,7.9039927,-2.020996,-3.0966797,1,10.138109
281976,3667821998,2112,18.721186,-0.071762085,-1.8996582,-1,12.027892,-0.28015137,-1.2663574,1,9.856317
281976,3213502344,1815,79.159065,-1.6367188,-2.5263672,-1,5.4083543,-1.1589355,-2.5498047,1,9.991794
281976,3214453227,1815,66.94309,1.3015137,-0.5617676,1,14.585051,1.2802734,-0.21954346,-1,10.662067
281976,3213775499,1815,17.125143,0.68322754,1.2485352,1,17.104626,1.0437012,1.6403809,-1,9.103852
281976,3213553801,1815,21.843027,-1.0512695,-1.9404297,-1,16.152075,-0.5394287,-2.0581055,1,9.967207
281976,3213243520,1815,18.704279,-0.56433105,-0.70996094,1,12.148593,-0.50439453,-1.3481445,-1,9.500713
281976,3213454164,1815,25.353718,2.2626953,1.6271973,-1,16.63864,1.7929688,1.8166504,1,10.483711
281976,3221267053,1820,19.869522,-1.940918,1.3554688,-1,14.635394,-1.8959961,1.892334,1,9.078058
281976,3221844696,1820,18.869183,-1.7155762,2.3286133,1,13.402062,-2.3271484,2.4418945,-1,10.040397
281976,3221961052,1820,28.524677,-1.0449219,1.0566406,-1,19.373144,-1.2268066,1.4182129,1,9.475889
281976,3225437771,1822,31.823196,0.913208,-0.2619629,1,12.566237,0.5050049,-0.61169434,-1,10.769434
281976,3228881374,1825,28.816553,-2.2124023,2.8730469,-1,6.8615394,-2.2514648,2.211914,1,9.145205
281976,3229644387,1825,31.446306,-1.2580566,2.5771484,1,12.74341,-0.7943115,2.652832,-1,9.488454
281976,3230212468,1825,30.447697,-1.2468262,-2.359375,-1,12.462797,-1.0148926,-2.7714844,1,9.167521
281976,3229703682,1825,19.53135,-1.2644043,-0.6298828,-1,17.961437,-1.3032227,-1.1188965,1,9.097347
281976,3234053324,1828,17.241554,-0.76086426,-0.7348633,1,7.0128736,-1.5898438,-0.91833496,-1,9.592688
281976,3235501156,1829,14.090775,-1.2822266,-0.79211426,1,7.52821,-0.57336426,-0.0057935715,-1,10.855889
281976,3237324721,1830,33.22264,1.5273438,0.57592773,1,17.289944,1.9499512,0.7032471,-1,10.649971
281976,3236925987,1830,29.533735,0.82788086,-1.0688477,-1,13.385755,1.2094727,-0.7211914,1,10.274706
281976,3240165199,1831,27.348106,0.022930145,-0.9102783,1,12.776874,-0.1635437,-0.41900635,-1,9.738331
281976,3241890104,1833,36.775406,-1.4125977,-2.432129,-1,18.222507,-1.0065918,-2.5146484,1,10.795959
281976,3243287976,1833,18.284546,-0.36889648,-0.29449463,1,13.019401,-0.41296387,0.3623047,-1,9.97577
281976,3242690656,1833,25.280052,0.66748047,-0.70007324,-1,18.9254,0.3517456,-0.38684082,1,9.728844
281976,3242887883,1833,18.542568,-1.1367188,-0.27783203,-1,15.454432,-0.6496582,-0.009971619,1,9.474897
281976,3242391294,1833,30.716082,1.201416,1.4934082,1,14.384201,0.7611084,1.5070801,-1,9.334496
281976,3243316323,1833,27.936329,1.0908203,0.5548096,-1,13.262761,0.6088867,0.5015869,1,9.422536
281976,3261696817,1845,25.010841,-0.57751465,-3.0029297,1,21.53479,-0.40563965,-2.5878906,-1,10.363605
281976,3261915267,1845,18.099062,0.08389282,0.866333,1,12.451679,0.729126,0.9555664,-1,9.945794
281976,3260805971,1845,31.08678,1.0048828,-2.809082,-1,8.65508,1.4768066,-2.5131836,1,9.188537
281976,3264197285,1847,29.573633,-0.58825684,1.5119629,-1,11.647927,-0.8145752,1.9562988,1,9.198813
281976,3265559110,1848,37.986507,-1.6936035,-1.0908203,-1,20.733135,-2.0043945,-1.2348633,1,9.6430435
281976,3266094592,1848,22.743793,0.27825928,2.5776367,-1,11.800525,-0.16793823,2.2104492,1,9.492499
281976,3266184959,1848,17.689093,0.71875,0.852417,1,13.517819,1.0107422,1.4968262,-1,10.790751
