Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
279841,3078389815,1764,-13,169.673,-54.8139,67.1528,-145.859,86.6836,-1.29199,2.25537,1,13,183.294,-25.267,-72.8182,-166.3,77.0773,-1.51196,-1.90479,-1,-13,75.9002,38.1013,-50.6804,-41.7206,63.4052,-0.61792,-0.926147,1,13,85.8626,36.4231,44.6786,-63.6361,57.6439,-0.953003,0.886841,-1,92.1537,92.5512,300.766
279841,3149829264,1807,-13,56.4921,0.519561,56.0285,7.2031,56.0309,0.128204,1.56152,1,-13,126.5,-36.8788,32.3268,-116.606,49.0415,-1.60083,2.42188,1,13,40.9729,23.4682,-32.6791,-7.75167,40.2328,-0.191498,-0.947998,-1,13,25.6479,21.5189,-13.9027,-1.20565,25.6193,-0.0470428,-0.573608,-1,91.5343,93.2405,215.587
279931,2164136930,1242,-13,70.3438,58.7515,-36.869,-11.7119,69.3618,-0.16806,-0.560425,1,-13,119.412,-59.2855,-20.6029,101.588,62.7634,1.25879,-2.80713,1,13,120.957,4.69002,38.621,114.53,38.9048,1.80054,1.44995,-1,13,41.8385,6.47796,29.792,28.6518,30.4882,0.838135,1.35669,-1,89.4032,88.122,264.091
279931,3910937418,2273,-11,118.789,-42.4513,-32.1339,-106.19,53.2419,-1.44116,-2.49365,1,11,133.681,2.78302,45.0023,-125.848,45.0883,-1.75024,1.50903,-1,13,38.5943,23.9449,-29.497,-6.78818,37.9925,-0.177734,-0.888916,-1,-13,73.9517,1.50971,24.0315,69.9217,24.0789,1.7876,1.50806,1,90.3372,89.4592,323.19
279931,2069872974,1192,-11,52.8592,27.6957,-15.3637,-42.3202,31.6716,-1.10034,-0.50647,1,11,79.4633,-7.00362,23.1561,-75.6912,24.192,-1.8584,1.8645,-1,-13,86.7329,-4.0614,19.841,-84.3352,20.2524,-2.13379,1.77271,1,13,35.9284,6.49713,11.6619,-33.356,13.3496,-1.64673,1.0625,-1,55.6206,14.0072,85.9183
279931,2073938999,1194,13,171.981,-60.0285,-1.61195,-161.157,60.0501,-1.71338,-3.11475,-1,-13,189.599,38.3708,-5.61701,-185.59,38.7798,-2.26953,-0.145355,1,13,85.2509,17.9028,-0.492387,-83.3484,17.9096,-2.24219,-0.0274963,-1,-13,20.2837,-6.25453,2.46894,-19.1364,6.7242,-1.76855,2.76562,1,99.9256,22.2448,127.51
279931,1672834881,978,11,81.1036,13.1184,-29.9302,-74.2286,32.6789,-1.55884,-1.15771,-1,-11,39.7251,-3.00889,-14.6084,36.8189,14.915,1.6355,-1.77393,1,-13,51.7199,31.1484,36.6566,-19.0001,48.1033,-0.385376,0.866455,1,13,47.1152,-46.4578,0.634791,7.81649,46.4622,0.16745,3.12793,-1,89.5448,105.424,214.036
279931,2224263738,1274,-13,93.2431,86.097,16.861,-31.5795,87.7325,-0.3526,0.19339,1,13,82.7871,1.33937,81.8965,12.0361,81.9074,0.146423,1.55444,-1,-13,75.2957,-67.0816,-11.2058,32.3099,68.0111,0.458801,-2.97607,1,13,71.1144,-5.50297,-62.9745,32.5757,63.2145,0.494873,-1.65796,-1,80.3403,114.92,317.942
279766,789491726,426,11,54.9977,52.7817,15.0468,-3.52567,54.8846,-0.0641937,0.27771,-1,-11,49.4059,-22.7952,-14.9688,41.1977,27.2706,1.20068,-2.56055,1,13,130.979,-45.959,-17.9607,-121.329,49.3438,-1.63184,-2.76904,-1,-13,82.261,28.3534,12.3697,-76.2229,30.9342,-1.63379,0.411377,1,92.6376,78.1243,274.139
279766,588238048,313,11,89.2122,12.4463,-9.09119,87.8707,15.413,2.44141,-0.630859,-1,-11,40.737,-13.6127,1.64291,38.3601,13.7115,1.75244,3.02148,1,13,101.136,54.9607,66.9493,52.2082,86.6192,0.571167,0.883423,-1,-13,40.464,35.4353,-4.79357,-18.9391,35.758,-0.507568,-0.13446,1,83.121,29.929,193.246
279766,1053131651,564,-13,68.8192,13.5856,39.4023,54.7627,41.6787,1.08691,1.23877,1,13,47.3298,-34.9337,17.4121,26.7684,39.0327,0.640991,2.6792,-1,13,32.6322,15.274,-15.7244,-24.1723,21.9214,-0.952148,-0.799927,-1,-13,46.6579,17.4733,-9.84137,-42.1281,20.0541,-1.48779,-0.512939,1,90.7501,89.2362,191.984
279766,1754463494,968,-11,40.826,15.6414,0.910951,-37.6999,15.6679,-1.61182,0.0581741,1,11,22.9836,-5.1481,-5.67423,-21.669,7.66158,-1.7627,-2.30762,-1,13,214.55,-42.7674,20.7204,-209.22,47.5225,-2.18799,2.69043,-1,-13,93.4526,37.6037,0.172926,-85.5529,37.6041,-1.5603,0.00459862,1,86.6654,20.352,111.977
279766,1780178466,983,-13,80.1285,70.1292,-13.0684,36.492,71.3365,0.491516,-0.184235,1,13,61.6478,-36.1535,45.2309,-21.1548,57.9043,-0.357666,2.24512,-1,-13,59.8882,-7.70702,-37.604,-45.9687,38.3856,-1.0144,-1.77295,1,13,27.8806,-27.0055,6.67108,1.87497,27.8172,0.0673523,2.89941,-1,91.0678,91.0137,227.732
279931,602263219,401,-11,168.603,-42.3638,-12.0374,-162.749,44.0408,-2.01807,-2.86475,1,11,24.0039,19.9133,-12.2036,-5.54246,23.3553,-0.235138,-0.549805,-1,13,134.932,37.4992,16.5371,-128.558,40.9837,-1.86084,0.415344,-1,-13,31.2319,-27.7827,10.3755,-9.79228,29.6569,-0.324463,2.78418,1,87.6562,87.4709,185.791
279931,602772946,401,11,87.7386,49.5293,-19.2451,-69.8179,53.1368,-1.08691,-0.370605,-1,-11,38.3499,0.533107,38.3187,1.45229,38.3224,0.0378876,1.55688,1,-13,73.6761,-37.1315,-46.1302,-43.834,59.2177,-0.685303,-2.24854,1,13,78.0118,14.3071,28.083,-71.3616,31.5174,-1.55591,1.09961,-1,91.4025,94.3003,206.693
280249,144754846,77,13,231.456,54.3752,-3.43287,-224.952,54.4835,-2.12549,-0.0630493,-1,-13,97.2211,-49.9835,19.1967,-81.1484,53.5431,-1.20337,2.7749,1,-13,162.835,6.09372,-46.4778,155.942,46.8756,1.91699,-1.44043,1,13,26.7044,-19.8433,16.4077,7.08131,25.7482,0.271667,2.45068,-1,90.8588,118.589,497.779
278873,30801674,81,11,104.329,-50.2117,23.0977,-88.4864,55.2695,-1.24951,2.71045,-1,-11,37.5433,32.7136,6.11884,-17.3746,33.281,-0.500854,0.184906,1,13,52.0886,27.5481,1.1377,44.1929,27.5716,1.25049,0.041275,-1,-13,46.4473,5.04759,-24.6905,-39.0158,25.2012,-1.22119,-1.36914,1,89.807,88.099,217.713
279588,613238417,401,-11,218.989,8.55073,69.7019,-207.424,70.2244,-1.80371,1.44873,1,11,157.118,-33.3889,-17.798,-152.494,37.8363,-2.10205,-2.65186,-1,-13,93.0371,-25.7148,-52.6152,-72.2929,58.5629,-1.03784,-2.02539,1,13,60.1216,49.8322,-10.8867,-31.825,51.0075,-0.589233,-0.215088,-1,92.76,89.4589,254.279
279844,255949218,211,-13,105.538,29.2037,-27.206,-97.7001,39.9127,-1.62769,-0.75,1,13,39.8731,-34.2757,14.6453,-14.1613,37.2735,-0.371338,2.73779,-1,13,48.4213,-11.5599,35.162,-31.2189,37.0135,-0.766235,1.88843,-1,-13,162.613,24.3218,-17.5478,-159.823,29.9913,-2.375,-0.625,1,91.9131,86.9784,187.665
279966,628606275,417,-11,32.1738,-17.6491,3.01026,-26.732,17.9039,-1.19092,2.97266,1,11,63.0295,9.18127,-9.87482,61.5704,13.4836,2.22363,-0.821777,-1,-13,66.1413,16.9747,-60.2421,-21.387,62.588,-0.335388,-1.29614,1,13,59.7993,-21.8389,14.2951,-53.802,26.1015,-1.4707,2.56201,-1,89.849,87.9268,210.499
279966,642990900,424,11,31.0934,-29.1568,-7.14212,8.10389,30.0188,0.266785,-2.90137,-1,-11,12.0875,4.66716,-10.6625,3.26149,11.6392,0.276672,-1.1582,1,13,105.947,86.2419,-18.8576,58.5788,88.2795,0.622559,-0.215271,-1,-13,34.9739,-12.0944,11.0591,-30.8963,16.3883,-1.39111,2.40088,1,116.334,28.6125,171.018
279975,190649311,167,13,38.5541,31.7008,7.90418,-20.4692,32.6714,-0.591431,0.244354,-1,-13,13.9628,-8.40379,-10.5138,3.71278,13.4597,0.272461,-2.24512,1,-13,44.5474,3.26495,12.6451,-42.59,13.0598,-1.89795,1.31812,1,13,12.6934,-7.35316,-9.92364,2.92638,12.351,0.234772,-2.2085,-1,43.9054,40.978,92.1659
