Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
283270,746914116,496,-11,103.91,-82.6468,25.5914,57.5496,86.5183,0.623901,2.84131,1,11,23.3792,20.1695,-10.5062,5.42185,22.7418,0.236206,-0.480225,-1,13,162.856,72.8617,-46.6338,137.981,86.5075,1.24634,-0.569336,-1,-13,52.7072,-16.939,29.1196,40.5358,33.688,1.01807,2.09766,1,90.0348,105.667,243.276
283283,365523176,175,11,99.9307,47.9221,33.0073,81.2412,58.1894,1.13574,0.603149,-1,-11,32.8276,-7.58705,-31.605,4.60584,32.5029,0.141235,-1.8064,1,-13,124.91,-79.3124,20.7468,-94.242,81.9811,-0.983276,2.88574,1,13,32.5178,4.48669,32.2056,-0.256519,32.5166,-0.00788879,1.43237,-1,92.8772,86.317,282.823
283283,1866072921,993,-11,142.111,-21.4767,-31.5505,-136.89,38.1665,-1.98926,-2.16846,1,11,67.5293,-29.56,13.2669,-59.2486,32.4007,-1.36426,2.71973,-1,11,113.181,-21.8589,9.81057,-110.616,23.9596,-2.23438,2.71973,-1,-11,40.5057,-17.2937,7.08163,-35.9372,18.6874,-1.40869,2.75293,1,50.3958,17.9873,80.2062
283408,3928210731,2312,-11,163.713,-24.3931,100.746,126.717,103.657,1.03027,1.80835,1,11,61.7444,-8.52387,-48.1946,-37.6428,48.9426,-0.708374,-1.74585,-1,11,26.6505,-5.36186,-21.3018,15.0904,21.9663,0.641968,-1.81738,-1,-11,36.6963,16.0911,0.0754861,32.9799,16.0913,1.46558,0.00469112,1,94.5105,85.4172,251.248
282814,419520335,212,-11,65.5925,19.3917,27.8042,56.1538,33.8986,1.27856,0.961792,1,-11,21.2263,-10.8061,-12.8242,-13.012,16.77,-0.713745,-2.271,1,11,17.9477,11.1529,7.5938,11.8345,13.4927,0.791748,0.597778,-1,11,14.9176,11.1696,3.5734,-9.21921,11.7273,-0.721802,0.309631,-1,48.5846,38.8038,102.915
283052,173778110,105,-11,47.1273,-20.7422,-42.1792,-3.41407,47.0035,-0.0725708,-2.02783,1,11,52.762,37.8854,18.4785,31.7343,42.1516,0.695435,0.453796,-1,13,61.2869,50.1507,-2.29924,35.1525,50.2033,0.652832,-0.0458145,-1,-13,37.4483,-30.4861,-17.5347,-12.8647,35.1691,-0.358093,-2.61963,1,91.2152,92.0425,183.413
283270,1435709677,886,11,809.522,-183.78,34.402,-787.634,186.972,-2.14502,2.95654,-1,-11,47.0604,11.3694,6.68809,-45.174,13.1907,-1.94482,0.531738,1,13,216.223,69.8192,47.1032,-199.145,84.2225,-1.5957,0.593506,-1,-13,157.404,19.4136,-27.9663,-153.679,34.0441,-2.2124,-0.963989,1,93.5441,82.3639,311.684
283408,1943077973,1136,11,23.0136,-22.6261,2.4509,3.41591,22.7585,0.149536,3.03369,-1,11,48.3525,21.547,6.92671,-42.7282,22.633,-1.39233,0.311035,-1,-11,27.261,6.98973,-20.7647,-16.2211,21.9095,-0.685425,-1.24609,1,-11,8.21991,-7.79905,1.81783,-1.85096,8.0081,-0.229126,2.9126,1,42.2336,30.7841,89.6002
283408,2783237828,1596,-11,237.896,-7.78687,61.0045,229.809,61.4995,2.02881,1.69775,1,11,32.925,-17.06,-6.21023,27.4672,18.1552,1.2019,-2.79248,-1,-13,107.543,-4.63042,-31.9225,102.591,32.2565,1.87402,-1.71484,1,13,45.2562,-0.103635,12.478,43.5018,12.4784,1.96191,1.5791,-1,59.4394,40.0485,120.923
283358,4235888,3,11,57.9684,-35.5547,36.6293,27.4679,51.0475,0.515015,2.34131,-1,-11,39.0164,27.8711,-1.34663,-27.2703,27.9036,-0.865234,-0.0482788,1,-13,33.8778,-30.9869,12.1271,6.35948,33.2754,0.189972,2.76855,1,13,59.2862,18.1368,-27.8633,49.0871,33.2462,1.18164,-0.993774,-1,90.0117,72.0588,179.601
281616,82060471,113,11,240.015,39.4673,-2.00894,236.739,39.5184,2.49023,-0.0508575,-1,11,48.8296,-18.9848,-19.4633,-40.5595,27.189,-1.19019,-2.34375,-1,-11,12.6963,11.7823,4.27775,2.01574,12.5348,0.160126,0.348267,1,-11,46.0577,10.6161,-5.12671,44.5232,11.7892,2.03906,-0.44989,1,91.1767,65.0183,244.081
281639,138325342,86,11,53.4974,48.4903,-15.3078,16.6231,50.8491,0.32135,-0.305786,-1,-11,38.0959,-22.8355,11.0636,-28.4152,25.3744,-0.963623,2.69043,1,11,49.6133,-21.6533,1.15334,-44.6237,21.684,-1.46924,3.08838,-1,-11,23.0005,4.27524,5.63212,21.8864,7.07096,1.84814,0.921509,1,87.0292,66.3908,160.302
282735,328415649,161,11,75.8033,-68.7518,-7.75315,-30.9713,69.1875,-0.433899,-3.0293,-1,11,69.6965,-13.6384,50.7659,45.7647,52.566,0.786865,1.83325,-1,-11,104.206,51.3254,-5.42784,90.5268,51.6116,1.32788,-0.105362,1,-11,54.258,-18.61,24.5845,44.6452,30.8338,1.16553,2.21875,1,90.5031,93.8809,252.134
282923,358866992,180,-11,50.6309,31.5504,-4.50162,-39.3418,31.8699,-1.03784,-0.141724,1,-11,22.6015,-20.7459,6.7697,-5.88156,21.8225,-0.266357,2.82617,1,11,14.43,-12.6942,2.45332,-6.4071,12.9291,-0.477234,2.95068,-1,11,18.9451,12.6658,-2.98902,-13.7677,13.0137,-0.921753,-0.23175,-1,42.1924,35.5027,83.4811
283307,730351573,386,11,262.289,-11.4455,-140.042,221.478,140.509,1.23633,-1.65234,-1,-11,16.7081,5.36868,-14.0709,-7.23513,15.0603,-0.463623,-1.2063,1,-13,222.935,41.8137,-51.1251,212.927,66.0467,1.88696,-0.885254,1,13,19.4912,18.8472,4.36163,-2.37806,19.3453,-0.12262,0.227417,-1,90.2849,92.5911,219.324
283308,977096094,503,11,87.5242,-14.5603,53.4159,-67.788,55.3647,-1.03149,1.83691,-1,-11,76.611,42.1673,-15.6395,-62.0206,44.9741,-1.12573,-0.355164,1,-11,44.3831,-10.8207,-34.0875,-26.2831,35.7638,-0.68103,-1.87817,1,11,116.362,-16.7121,25.2339,-112.357,30.2662,-2.02246,2.15576,-1,88.8868,76.0362,180.682
282092,1128216979,748,-11,59.4873,16.8939,-38.1382,-42.4123,41.7124,-0.893188,-1.15381,1,11,41.2564,-15.4813,-24.3186,-29.513,28.8282,-0.898071,-2.1377,-1,-13,50.6119,-38.8613,-1.61348,-32.3844,38.8948,-0.757935,-3.1001,1,13,17.8171,1.56357,10.4738,14.328,10.5899,1.11035,1.42261,-1,53.7296,32.7591,127.915
282092,1477939006,935,-11,242.51,46.8828,-29.6688,236.078,55.4818,2.15479,-0.564209,1,11,77.9393,-44.8444,29.6361,56.4376,53.7524,0.91626,2.55762,-1,-11,48.5646,34.993,-18.011,28.4535,39.3561,0.671387,-0.475342,1,11,125.703,-30.3525,5.26855,121.87,30.8064,2.08398,2.96973,-1,92.5448,81.152,220.07
283408,2660314435,1525,11,87.4569,18.4291,-24.2352,81.9862,30.4463,1.71655,-0.920654,-1,-11,27.7973,16.9934,7.60586,-20.6413,18.6179,-0.956177,0.420837,1,13,85.5766,-81.8582,-12.7309,21.4593,82.8423,0.256226,-2.9873,-1,-13,30.8845,15.4256,26.578,3.08303,30.7301,0.100159,1.04492,1,91.4103,89.3815,212.946
283408,2807428349,1610,11,66.4422,-4.48733,42.4859,50.8859,42.7222,1.01025,1.67603,-1,-11,75.0874,-14.6121,-9.46304,73.0415,17.4087,2.14111,-2.56689,1,-13,59.1743,-52.783,-26.6637,-2.14261,59.1354,-0.0362244,-2.67383,1,13,29.9958,-25.6255,-2.51024,-15.3873,25.7481,-0.566772,-3.04395,-1,56.7216,25.3968,179.943
283946,2232901220,1323,11,103.679,28.8987,71.7672,69.0186,77.3671,0.802979,1.18799,-1,-11,48.1322,7.75419,-26.3568,39.5209,27.4737,1.16016,-1.28467,1,-13,56.3332,-52.6318,0.000468892,-20.0824,52.6318,-0.372864,3.14158,1,13,73.2196,25.8908,-33.5012,-59.7363,42.3399,-1.14429,-0.912842,-1,92.604,88.6573,279.464
283946,1303265517,834,11,181.667,-46.3959,-104.256,-141.354,114.113,-1.04053,-1.9895,-1,-11,320.106,-51.128,-86.9139,-303.809,100.837,-1.82251,-2.10254,1,-13,559.454,93.2197,101.248,-542.262,137.627,-2.08008,0.82666,1,13,244.11,0.131443,90.0057,-226.911,90.0058,-1.65503,1.56934,-1,93.7868,86.8862,478.828
283946,1398576078,883,11,51.6956,38.9974,14.5749,-30.6462,41.6321,-0.682007,0.357666,-1,-11,39.6632,-34.8386,-7.86961,17.2481,35.7164,0.465881,-2.91943,1,11,39.0325,-7.45634,3.78492,38.1262,8.36197,2.22217,2.67188,-1,-11,15.9357,4.74722,5.90369,14.0194,7.5756,1.37476,0.893555,1,90.0258,14.182,140.14
283408,1413033926,840,-11,47.0522,-27.085,14.4037,35.677,30.6768,0.992065,2.65283,1,11,29.6478,16.8015,-11.8958,21.3352,20.5864,0.90686,-0.616089,-1,13,54.2023,8.78185,-15.346,51.2373,17.681,1.78564,-1.05103,-1,-13,19.6307,2.75315,9.11106,17.1687,9.51794,1.35229,1.27734,1,50.2042,24.4952,83.1567
283408,1413611164,840,-11,81.1972,67.7765,-34.6967,28.2038,76.1414,0.362427,-0.473145,1,11,161.963,37.5662,45.1504,150.938,58.7348,1.67285,0.876831,-1,-11,22.0439,-13.7052,-16.6737,-4.48093,21.5835,-0.206146,-2.25879,1,11,12.8505,-3.95116,7.20736,-9.87756,8.21934,-1.01709,2.07227,-1,105.017,60.6611,206.085
283946,122640943,150,11,140.635,-41.7141,22.0269,132.487,47.1726,1.7561,2.65576,-1,-11,98.1272,46.1967,5.38285,86.405,46.5092,1.37817,0.115997,1,11,83.8902,25.4171,-19.9374,77.4211,32.3037,1.60815,-0.665161,-1,-11,23.4714,-5.6356,6.58304,-21.8128,8.66582,-1.65356,2.27881,1,91.2253,88.6824,208.961
283946,134448349,157,-11,95.0135,42.7243,35.0129,77.3065,55.2384,1.1377,0.686523,1,11,52.743,47.0992,-23.3974,4.00578,52.5906,0.0760956,-0.46106,-1,13,324.998,-108.497,166.102,-257.414,198.398,-1.0769,2.14941,-1,-13,37.8498,-33.5922,15.3335,-8.3096,36.9263,-0.223175,2.71338,1,89.1127,83.7682,432.098
283876,966438675,609,-11,270.135,228.064,67.6882,127.976,237.897,0.514893,0.288513,1,11,34.1792,33.7594,-4.16253,-3.34584,34.015,-0.0982056,-0.122681,-1,-13,138.523,-12.1484,-116.657,73.7027,117.288,0.593018,-1.67456,1,13,65.2393,-24.3649,-3.35183,60.4258,24.5943,1.6311,-3.00488,-1,88.2789,66.9869,370.446
283934,93591793,55,-11,344.032,-122.797,35.9311,-319.355,127.946,-1.64575,2.85693,1,-11,135.398,-33.6053,-28.5979,-128.005,44.1266,-1.78662,-2.43652,1,11,69.4136,14.2913,12.8994,-66.6904,19.2519,-1.95581,0.734253,-1,11,22.7726,-1.12016,-8.44708,-21.1181,8.52102,-1.63916,-1.70264,-1,88.023,14.2079,140.302
283934,763189398,460,-11,67.0917,-25.7222,-21.0372,-58.2846,33.2295,-1.32788,-2.45605,1,-11,64.6906,28.242,8.29023,-57.6066,29.4336,-1.42432,0.285522,1,11,81.7189,27.6169,-3.38206,-76.8365,27.8232,-1.74023,-0.121857,-1,11,27.1559,-13.5741,12.291,20.0527,18.3119,0.947021,2.40576,-1,79.9171,57.3326,166.764
283934,473589099,294,11,188.712,-29.8392,-81.349,-167.643,86.6489,-1.41406,-1.92236,-1,-11,137.376,-10.1986,81.3211,-110.25,81.9581,-1.10571,1.69556,1,11,91.2154,19.8397,-13.6972,-87.9716,24.1086,-2.00586,-0.604248,-1,-11,14.8382,9.14584,11.5983,-1.41234,14.7705,-0.0954742,0.903076,1,91.0841,86.946,227.437
283934,2103967159,1195,11,53.5537,8.29212,43.131,30.6423,43.9208,0.650757,1.38086,-1,-11,40.108,-10.2608,-38.3804,5.50484,39.7283,0.138123,-1.83203,1,11,16.0496,11.5269,5.13555,9.91639,12.6192,0.721558,0.419128,-1,-11,64.9891,8.51303,-7.48631,-63.9926,11.3365,-2.43164,-0.721313,1,86.2523,56.885,172.819
283934,777872589,468,11,93.3863,49.6326,37.8765,-69.4476,62.4342,-0.958618,0.651855,-1,-11,64.5379,-36.3762,-4.67881,-53.1039,36.6758,-1.16553,-3.01367,1,-13,278.309,-20.2518,-68.8964,-268.885,71.8112,-2.03076,-1.85669,1,13,114.555,22.95,25.7218,-109.245,34.4719,-1.87061,0.842285,-1,92.9696,97.4087,228.761
283408,2639788455,1513,-11,74.5494,-55.9993,22.8994,-43.5582,60.5004,-0.668945,2.75342,1,11,49.8115,37.7543,-29.0384,-14.5797,47.63,-0.301514,-0.65564,-1,-13,71.8193,49.6398,3.92031,-51.7544,49.7944,-0.908936,0.0788116,1,13,47.9774,-39.104,-10.4741,-25.7487,40.4825,-0.599487,-2.87988,-1,90.5018,108.236,202.47
282735,3279914581,1774,11,86.8485,32.1156,47.454,65.2639,57.3,0.976318,0.97583,-1,-11,85.881,14.0794,-41.6915,73.7506,44.0046,1.28857,-1.24512,1,13,29.2637,-18.9465,-21.9793,-3.78047,29.0183,-0.129913,-2.28223,-1,-13,30.0947,-18.2567,15.0509,-18.5969,23.6609,-0.72168,2.45215,1,91.3417,39.8822,200.446
282919,67790360,34,-11,186.476,48.4615,-9.59659,179.813,49.4026,2.00342,-0.195496,1,11,138.779,-37.0201,31.0084,130.106,48.2909,1.71704,2.44434,-1,13,100.001,-11.7809,-93.3842,33.7765,94.1244,0.351563,-1.69629,-1,-13,27.8864,-9.24693,10.6532,-24.055,14.1066,-1.30347,2.28564,1,94.732,95.6642,315.145
282037,650940545,352,11,178.861,-5.28695,90.8794,-153.962,91.0331,-1.29639,1.62891,-1,11,102.77,-24.8526,-41.9659,-90.4598,48.7728,-1.37671,-2.10547,-1,-11,42.1471,-3.18238,-25.4763,-33.4245,25.6742,-1.07959,-1.69507,1,-11,14.2641,0.351859,7.74389,-11.9734,7.75188,-1.21924,1.52539,1,96.8589,37.8564,167.983
282037,296043455,153,-11,64.3692,-55.303,30.5983,-12.1951,63.2035,-0.191772,2.63623,1,11,61.524,22.7499,17.8094,-54.3182,28.8918,-1.38867,0.664185,-1,13,95.9378,25.6585,-76.7822,-51.48,80.9559,-0.599365,-1.24829,-1,-13,40.1361,20.4913,23.4573,-25.3132,31.1471,-0.742554,0.852783,1,89.566,87.439,218.817
283408,2425827816,1397,11,225.607,-0.320756,-82.0195,-210.17,82.0201,-1.67017,-1.57471,-1,11,121.581,-42.0294,67.4669,-91.9976,79.4874,-0.988403,2.12793,-1,-11,43.6084,29.105,-25.8606,-19.6421,38.9342,-0.485229,-0.72644,1,-11,31.0195,5.4997,-7.66613,-29.5497,9.43484,-1.85937,-0.948486,1,84.8348,60.0207,228.262
283885,2815371819,1620,-11,62.3221,-28.4044,45.1033,32.2942,53.3021,0.573853,2.13281,1,11,68.0118,-8.47845,-40.5123,53.9673,41.39,1.08081,-1.7771,-1,11,34.9712,-34.1741,-7.09057,2.19667,34.9019,0.0628967,-2.93701,-1,-11,81.1784,33.9642,3.19193,73.6626,34.1138,1.5127,0.0937042,1,90.3575,87.8684,181.919
281693,3797848254,2089,11,163.858,-113.471,58.7886,-102.556,127.796,-0.734619,2.66357,-1,11,61.8569,29.015,6.27299,-54.2683,29.6854,-1.36401,0.212921,-1,-11,36.0447,20.5806,-7.59031,28.6013,21.9356,1.08081,-0.353333,1,-11,24.2229,19.5061,5.35662,-13.325,20.2283,-0.61853,0.268005,1,94.8793,80.402,236.293
281693,2840408838,1548,-11,67.6082,25.7965,44.0743,-44.3042,51.0686,-0.784546,1.04126,1,11,28.932,13.016,-8.73501,24.3176,15.6753,1.2229,-0.591064,-1,13,35.1119,-25.948,-19.7614,-13.0007,32.6162,-0.388733,-2.49072,-1,-13,32.7426,30.2072,9.99421,-7.7274,31.8176,-0.24054,0.319519,1,78.5192,63.7263,151.191
282092,1384200398,886,-11,30.6011,-8.88115,25.5145,14.3724,27.016,0.509644,1.90576,1,11,19.6577,4.48569,18.2157,5.87309,18.7598,0.308167,1.32935,-1,-13,196.841,39.1383,-135.101,-137.704,140.656,-0.866455,-1.28882,1,13,48.3062,-7.61343,18.298,-44.0533,19.8187,-1.53906,1.96509,-1,111.467,13.5803,234.74
283830,116936765,61,-11,229.742,51.9222,-24.1659,222.489,57.2705,2.06641,-0.435608,1,11,89.3936,3.1382,48.811,74.8254,48.9118,1.21118,1.50659,-1,11,174.076,-32.6877,19.0782,169.912,37.8479,2.20703,2.61328,-1,-11,108.605,-18.583,-21.9664,104.724,28.7724,2.00342,-2.27295,1,93.245,77.4994,185.924
282735,1641774782,859,11,77.1093,30.0251,68.915,17.1772,75.1717,0.226562,1.15991,-1,-11,71.6789,23.8839,-66.5692,-11.6597,70.7241,-0.164124,-1.22632,1,11,45.1575,-43.2544,-3.87495,12.3785,43.4277,0.281311,-3.05225,-1,-11,31.4167,-15.5951,-14.3162,-23.2129,21.1698,-0.947998,-2.39893,1,91.1736,92.4782,224.687
283408,24538444,14,-11,173.987,17.1342,-44.1611,167.414,47.3686,1.9751,-1.20068,1,11,28.6944,-11.972,21.4392,14.8459,24.5554,0.572754,2.08008,-1,13,51.7686,-44.4736,25.6089,-6.8012,51.3198,-0.132141,2.61914,-1,-13,53.819,38.5073,14.1538,-34.8329,41.0261,-0.770508,0.352234,1,88.3101,85.5447,273.793
281693,1904835681,1000,11,98.3538,-44.8425,62.4734,61.3164,76.901,0.730591,2.19336,-1,11,399.454,11.4535,-73.1715,392.528,74.0625,2.36963,-1.41553,-1,-11,206.765,33.2571,19.0318,203.183,38.3177,2.37012,0.519775,1,-11,22.3496,-0.74133,15.0934,16.4662,15.1116,0.943359,1.61987,1,87.7452,20.6087,272.53
281693,2687129909,1448,11,95.8206,-38.14,-87.8901,1.50036,95.8088,0.0156593,-1.98022,-1,11,83.1685,56.7577,13.5956,59.2512,58.3633,0.89209,0.235107,-1,-11,166.276,9.36943,51.9424,157.677,52.7806,1.81445,1.39233,1,-11,18.1333,-11.3141,13.6691,-3.73528,17.7441,-0.208984,2.26221,1,80.6031,70.8945,292.595
282092,2426273892,1472,-11,47.6977,15.7576,36.337,26.5778,39.6066,0.628784,1.16162,1,-11,41.8618,-8.32649,-37.1542,17.3963,38.0758,0.442322,-1.79126,1,11,38.3288,-9.02488,-36.6471,6.68026,37.742,0.176086,-1.81226,-1,11,34.9408,-8.99548,2.91108,-33.6371,9.45479,-1.98145,2.82861,-1,79.0509,64.5153,157.853
283820,2021119406,1145,-11,60.7336,-34.2977,-0.317896,-50.121,34.2992,-1.1731,-3.13232,1,11,101.91,-24.5937,-1.2016,-98.891,24.6231,-2.09863,-3.09277,-1,-11,21.5591,21.4203,-1.80123,-1.64719,21.4958,-0.0765533,-0.0838928,1,11,20.1203,20.1034,0.807657,0.120345,20.1196,0.00598145,0.0401535,-1,71.5382,61.9319,137.033
282092,2700446627,1651,-11,207.801,52.2397,13.5702,200.669,53.9735,2.02393,0.25415,1,11,21.4053,0.429374,-21.1911,2.98979,21.1955,0.140594,-1.55054,-1,13,113.605,-62.9502,-35.111,87.8095,72.0799,1.02759,-2.63281,-1,-13,71.5809,-3.89036,40.9445,58.5852,41.1289,1.1521,1.66553,1,91.4363,90.6997,221.312
283358,803166176,435,-11,44.4057,-40.8332,-16.9776,4.03466,44.2221,0.0911102,-2.74756,1,11,152.889,-19.217,25.9084,-149.447,32.2574,-2.23779,2.20898,-1,-13,110.937,-27.6419,-107.377,3.62631,110.878,0.0326996,-1.82275,1,13,40.5999,-21.3544,17.7805,-29.6004,27.7877,-0.926758,2.44727,-1,108.907,118.721,271.868
283416,209671103,96,-11,147.274,12.9357,-53.542,136.585,55.0824,1.63965,-1.33374,1,11,33.1812,-1.82895,24.8419,21.9207,24.9092,0.793945,1.64429,-1,11,34.2352,-4.38198,6.10486,-33.4002,7.51472,-2.19727,2.19336,-1,-11,9.1231,4.59776,-5.53286,-5.60961,7.19389,-0.716797,-0.877441,1,80.5785,18.9159,186.799
283877,652790232,348,-11,41.8976,-28.6273,10.2629,-28.8195,30.4113,-0.843872,2.79736,1,11,21.678,19.5636,-7.64978,5.35533,21.0061,0.252258,-0.372742,-1,13,19.5309,-9.2738,9.66679,14.2125,13.3959,0.923828,2.33545,-1,-13,9.67776,6.00545,-7.572,-0.497257,9.6644,-0.0514297,-0.900269,1,58.3293,25.4945,91.3216
282092,474634113,364,-11,53.4057,42.1358,-31.7826,8.16122,52.7784,0.154022,-0.64624,1,11,73.7563,31.2974,33.3337,-57.8733,45.7238,-1.05737,0.816895,-1,13,16.8014,-6.53958,-13.152,8.15685,14.6881,0.530151,-2.03223,-1,-13,10.9054,2.9186,8.92182,-5.5498,9.38707,-0.561279,1.25464,1,91.1264,27.016,129.94
